question_id,difficulty,category
Q1,easy,simple_retrieval
Q2,easy,simple_retrieval
Q3,easy,simple_retrieval
Q19,easy,aggregation
Q20,easy,simple_retrieval
Q21,easy,simple_retrieval
Q24,easy,attribute_retrieval
Q26,easy,attribute_retrieval
Q27,easy,attribute_retrieval
Q28,easy,attribute_retrieval
Q29,easy,attribute_retrieval
Q30,easy,attribute_retrieval
Q36,easy,aggregation
Q37,easy,hierarchical
Q76,easy,hierarchical
Q77,easy,hierarchical
Q81,easy,simple_retrieval
Q100,easy,simple_retrieval
Q4,medium,single_hop
Q5,medium,single_hop
Q6,medium,attribute_retrieval
Q7,medium,attribute_retrieval
Q11,medium,aggregation
Q12,medium,aggregation
Q13,medium,aggregation
Q14,medium,multi_hop
Q15,medium,multi_hop
Q16,medium,comparison
Q17,medium,single_hop
Q18,medium,single_hop
Q22,medium,single_hop
Q23,medium,single_hop
Q25,medium,single_hop
Q38,medium,single_hop
Q39,medium,single_hop
Q40,medium,unanswerable
Q41,medium,aggregation
Q44,medium,data_quality
Q45,medium,comparison
Q46,medium,aggregation
Q49,medium,consistency_check
Q50,medium,comparison
Q52,medium,hierarchical
Q54,medium,consistency_check
Q55,medium,aggregation
Q58,medium,aggregation
Q59,medium,aggregation
Q60,medium,comparison
Q63,medium,comparison
Q68,medium,unanswerable
Q70,medium,schema_validation
Q71,medium,schema_validation
Q72,medium,schema_validation
Q73,medium,schema_validation
Q74,medium,data_quality
Q75,medium,simple_retrieval
Q78,medium,aggregation
Q79,medium,comparison
Q80,medium,consistency_check
Q83,medium,comparison
Q84,medium,comparison
Q85,medium,comparison
Q87,medium,schema_validation
Q89,medium,schema_validation
Q90,medium,comparison
Q92,medium,comparison
Q97,medium,consistency_check
Q99,medium,consistency_check
Q8,hard,attribute_retrieval
Q9,hard,attribute_retrieval
Q10,hard,multi_hop
Q31,hard,multi_hop
Q32,hard,comparison
Q34,hard,comparison
Q42,hard,aggregation
Q43,hard,aggregation
Q47,hard,aggregation
Q48,hard,multi_hop
Q51,hard,data_quality
Q53,hard,aggregation
Q61,hard,comparison
Q64,hard,data_quality
Q66,hard,multi_hop
Q69,hard,aggregation
Q82,hard,multi_hop
Q86,hard,data_quality
Q88,hard,schema_validation
Q91,hard,data_quality
Q93,hard,comparison
Q95,hard,multi_hop
Q96,hard,multi_hop
Q98,hard,schema_validation
Q33,very_hard,comparison
Q56,very_hard,data_quality
Q57,very_hard,data_quality
Q62,very_hard,data_quality
Q65,very_hard,data_quality
Q67,very_hard,data_quality
Q94,very_hard,data_quality
Q35,extreme,multi_hop_complex
